Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C19, C2, C20, C3, C32, C39, C4, C40, C41, C42, C43, C5, C6, C7, C8, C9",0805,24,1uF,
"C17, C35",0805,2,100nF 100V,
"C18, C21, C25, C28, C29, C30",0603,6,100nF 50V,
C22,CP_EIA-3216-18_Kemet-A,1,10uF tantalum,
"C23, C44",0603,2,2.2uF,
C24,0603,1,100pF,
"C26, C27",0805,2,14pF,
C31,0603,1,4.7uF,
C33,0603,1,10nF,
C34,CP_Elec_10x7.9,1,33uF 100V ±20% D10xL8.4mm,
C36,0603,1,33nF,
"C37, C38",CP_Elec_5x5.4,2,47uF 16V,
D1,D_SOD-123,1,"68V, 500mW zener diode",
D2,D_SOD-123,1,"100V, 200mW Schottky diodes",
D3,0603,1,White,
D4,D_SOD-123F,1,1N4002W,
D5,D_SMA,1,SS210,
F1,Fuse_Bourns_MF-RHT100,1,"Fuse, 100mA",
"H1, H2, H3, H4",MountingHole_3.2mm_M3_ISO7380_Pad,4,MountingHole,
"H5, H6",MountingHole_3.2mm_M3_DIN965_Pad,2,MountingHole,
J10,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,TEMP1,
J11,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,ST_LINK,
J12,"PhoenixContact_MC_1,5_4-G-3.81_1x04_P3.81mm_Horizontal",1,TXRX,
J13,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,TEMP3,
J14,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",1,POWER_IN,
J16,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,FAN_12V,
J2,WJ15EDGRC-3.81-17P,1,CELL CONNECTOR,
J5,PinHeader_1x03_P2.54mm_Vertical,1,BOOT_MODE,
"J6, J9",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,2,TEMP2,
J8,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,UART_PROG,
JP1,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,1,LDO_EN,
JP2,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels,1,SolderJumper_3_Open,
JP3,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Bridged,
L1,MS1040-101M,1,100uH,
Q1,SOT-23,1,AO3401A,
Q18,SOT-23,1,SZNUD3160,
"Qc1, Qc10, Qc11, Qc12, Qc13, Qc14, Qc15, Qc16, Qc2, Qc3, Qc4, Qc5, Qc6, Qc7, Qc8, Qc9",SOT-23,16,AO3400A,
"R1, R10, R11, R12, R13, R14, R15, R16, R2, R24, R3, R4, R5, R6, R7, R8, R9",0603,17,3K3 1%,
"R17, R18, R37, R38, R39, R40, R41, R42, R61, R62, R63, R64, R65, R66, R85, R86, R87, R88",0603,18,100R,
"R19, R21, R22, R23, R25, R29, R30, R32, R34",0603,9,10K 1%,
"R20, R27, R31, Rl1, Rl10, Rl11, Rl12, Rl13, Rl14, Rl15, Rl16, Rl2, Rl3, Rl4, Rl5, Rl6, Rl7, Rl8, Rl9",0603,19,330R,
"R26, R28",0603,2,100K,
R33,0603,1,2K2,
R35,0603,1,43K 1%,
R36,0603,1,4.99kΩ 1%,
"R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R89, R90, R91, R92, R93, R94, R95, R96",2512,32,6R8 2W,
"TH3, TH7, TH8",0805,3,10K NTC,
TP1,TestPoint_Pad_1.5x1.5mm,1,TEST_4096,
TP2,TestPoint_Pad_1.5x1.5mm,1,TEST_9V,
TP3,TestPoint_Pad_1.5x1.5mm,1,TEST_3V3,
TP4,TestPoint_Pad_1.5x1.5mm,1,TEST_1V8,
TP5,TestPoint_Pad_1.5x1.5mm,1,TEST_5V,
U1,TQFP-80_12x12mm_P0.5mm,1,MAX14921ECS+T,
U10,SOT-23-3,1,XC6206-1.8NR,
U11,SOT-23-5,1,AP2204K-5.0TRG1,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP1501-40xSN,
U4,MSOP-10_3x3mm_P0.5mm,1,MCP33151-05-E/MS,
U5,SO-4_4.4x4.3mm_P2.54mm,1,RELAY1,
U6,LQFP-32_7x7mm_P0.8mm,1,STM32F030K6Tx,
U7,SOP-4_4.4x2.6mm_P1.27mm,1,EL3H7(B)(TA)-G,
U8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,XL7005A,
U9,SOT-23-3,1,XC6206-3.3V,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHZ,
"led1, led10, led11, led12, led13, led14, led15, led16, led2, led3, led4, led5, led6, led7, led8, led9",0603,16,Yellow,
